Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.05,-.36,-.12,-.02,-.79,-.48,-.26,-.13,-.11,-.05,.05,.66
1881,-.08,-.16,.00,-.32,.11,-.08,-.88,-.43,-.18,.11,.10,-.06,-.07,.58
1882,-.10,-.20,-.01,-.29,-.04,.00,-1.38,-.25,-.14,-.03,-.05,.00,.04,.61
1883,-.17,-.27,-.07,-.33,-.16,-.02,-.16,-.53,-.26,-.17,-.15,-.04,.07,.48
1884,-.28,-.42,-.15,-.59,-.14,-.14,-1.28,-.62,-.47,-.12,-.17,-.20,-.02,.63
1885,-.33,-.43,-.24,-.64,-.13,-.28,-1.49,-.66,-.45,-.06,-.20,-.34,-.15,.81
1886,-.31,-.42,-.20,-.55,-.19,-.22,-1.57,-.49,-.39,-.21,-.18,-.20,-.21,.58
1887,-.36,-.43,-.29,-.51,-.29,-.29,-1.74,-.49,-.29,-.29,-.30,-.28,-.26,.30
1888,-.17,-.22,-.12,-.41,.11,-.29,-1.29,-.41,-.24,.08,.14,-.31,-.23,.14
1889,-.10,-.16,-.04,-.28,.09,-.17,-.66,-.21,-.27,.03,.15,-.16,-.15,.43
1890,-.34,-.37,-.32,-.44,-.36,-.23,-1.11,-.54,-.26,-.26,-.46,-.18,-.27,.14
1891,-.22,-.25,-.19,-.42,-.07,-.22,-1.10,-.33,-.36,.02,-.16,-.18,-.24,-.17
1892,-.27,-.38,-.15,-.43,-.29,-.08,-1.11,-.65,-.17,-.32,-.26,.02,-.22,.07
1893,-.31,-.46,-.15,-.50,-.35,-.05,-.63,-.54,-.47,-.41,-.30,.07,-.20,-.06
1894,-.30,-.37,-.22,-.31,-.33,-.24,-.88,-.31,-.18,-.47,-.19,-.15,-.35,-.39
1895,-.22,-.29,-.15,-.39,-.06,-.26,-.62,-.51,-.27,-.13,.01,-.20,-.32,-.60
1896,-.10,-.18,-.03,-.33,.11,-.15,-.81,-.35,-.22,.07,.15,-.15,-.13,.24
1897,-.10,-.15,-.05,-.34,.18,-.24,-.50,-.45,-.24,.15,.20,-.19,-.27,.39
1898,-.27,-.28,-.26,-.34,-.21,-.27,-1.13,-.23,-.23,-.17,-.26,-.28,-.21,.36
1899,-.17,-.20,-.14,-.23,-.11,-.19,-1.00,-.08,-.15,-.15,-.08,-.15,-.22,.57
1900,-.08,-.08,-.07,-.19,.18,-.30,-.52,-.14,-.15,.10,.26,-.29,-.29,.26
1901,-.15,-.12,-.18,-.15,-.03,-.30,-.36,-.09,-.15,-.05,-.01,-.27,-.34,.25
1902,-.27,-.31,-.22,-.50,-.03,-.35,-1.28,-.49,-.32,-.01,-.05,-.28,-.43,-.06
1903,-.36,-.37,-.36,-.45,-.28,-.39,-.17,-.41,-.56,-.23,-.32,-.35,-.40,-.50
1904,-.46,-.47,-.45,-.50,-.45,-.44,-.13,-.59,-.55,-.43,-.47,-.37,-.49,-1.32
1905,-.25,-.28,-.22,-.40,-.07,-.36,-.01,-.22,-.62,-.11,-.03,-.33,-.37,-.34
1906,-.22,-.23,-.20,-.25,-.18,-.23,-.24,-.05,-.39,-.21,-.15,-.20,-.23,-.72
1907,-.38,-.47,-.29,-.58,-.30,-.29,-.54,-.71,-.52,-.31,-.29,-.21,-.37,-1.20
1908,-.42,-.45,-.39,-.47,-.42,-.36,-.19,-.53,-.52,-.41,-.44,-.28,-.48,.67
1909,-.48,-.49,-.47,-.53,-.47,-.44,-.71,-.61,-.44,-.43,-.50,-.37,-.52,-.57
1910,-.43,-.43,-.42,-.41,-.47,-.38,-.52,-.23,-.49,-.47,-.48,-.33,-.45,.16
1911,-.43,-.41,-.45,-.41,-.41,-.48,-.23,-.41,-.47,-.42,-.41,-.44,-.53,.05
1912,-.35,-.46,-.24,-.59,-.17,-.37,-.47,-.78,-.50,-.26,-.07,-.36,-.29,-1.64
1913,-.34,-.42,-.26,-.43,-.26,-.35,-.46,-.32,-.51,-.39,-.13,-.28,-.40,-1.04
1914,-.15,-.19,-.10,-.24,-.05,-.18,-.32,-.16,-.29,-.11,.00,-.15,-.18,-.37
1915,-.14,-.14,-.12,-.23,.00,-.22,-.56,-.16,-.19,-.01,.00,-.15,-.23,-1.99
1916,-.35,-.41,-.30,-.36,-.44,-.23,-.41,-.53,-.25,-.49,-.39,-.23,-.17,-1.05
1917,-.46,-.57,-.35,-.50,-.63,-.19,-.78,-.49,-.44,-.69,-.57,-.23,-.10,.06
1918,-.29,-.40,-.19,-.40,-.33,-.14,-.98,-.27,-.35,-.38,-.27,-.06,-.23,-.28
1919,-.27,-.35,-.20,-.44,-.19,-.22,-.68,-.55,-.31,-.23,-.16,-.14,-.32,.19
1920,-.27,-.30,-.23,-.25,-.25,-.32,.02,-.20,-.35,-.37,-.12,-.19,-.48,-1.15
1921,-.18,-.11,-.26,.02,-.25,-.31,.04,.17,-.09,-.29,-.20,-.23,-.38,-.84
